,Index,ProductName,ScrapeDate,ScrapedIndex,ScrapedIndexTrueRank,CorrectedIndexTrueRank,ScrapedIndexPrice,CorrectedPrice,ScrapedIndexVendor,ScrapedIndexVendorType
24,213,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,24,24,24,119.78,119.78,HPP Enterprises,Other
25,214,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,72,72,24,119.78,119.78,HPP Enterprises,Other
26,215,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,81,79,24,119.78,119.78,HPP Enterprises,Other
27,216,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,26,26,25,121.37,121.37,Royal Electronics LLC,Other
28,217,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,27,27,26,122.13,122.13,MegaRetailStore,Other
29,218,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,28,28,27,122.15,122.15,SupplyTiger,Other
30,219,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,29,29,28,122.28,122.28,Olivabel,Other
31,220,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,30,30,29,122.31,122.31,TheFactoryDepot,Other
32,221,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,31,31,30,122.49,122.49,JF3 Technology,Other
33,222,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,32,32,31,122.5,122.5,AztekComputers,Other
34,223,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,34,34,32,123.1,123.1,A deal for u,Other
35,224,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,73,73,32,123.1,123.1,A deal for u,Other
36,225,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,82,80,32,123.1,123.1,A deal for u,Other
37,226,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,91,83,32,123.1,123.1,A deal for u,Other
38,227,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,92,83,32,123.1,123.1,A deal for u,Other
39,228,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,33,33,33,123.1,123.1,SuperDealsHub,Other
40,229,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,35,35,34,123.75,123.75,Moon Tech,Other
41,230,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,36,36,35,123.95,123.95,AV House,Other
42,231,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,37,37,36,123.99,123.99,OneDealOutlet Online,Other
43,232,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,38,38,37,124.28,124.28,Card Machine Outlet Inc.,Other
44,233,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,39,39,38,124.99,124.99,HowardStore,Other
45,234,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,40,40,39,125.41,125.41,IPC-Store,Other
46,235,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,41,41,40,126.57,126.57,"UnbeatableSale, Inc",Other
47,236,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,42,42,41,127.37,127.37,Appertronics,Other
48,237,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,74,74,41,127.37,127.37,Appertronics,Other
49,238,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,43,43,42,127.53,127.53,Sivart Vault,Other
50,239,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,44,44,43,128.09,128.09,CX Outlet,Other
51,240,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,45,45,44,128.15,128.15,oceanclublights,Other
52,241,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,25,25,45,119.9,129.88,E Stars LLC,FBA
53,242,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,46,46,46,130.83,130.83,Good Luck Bargains,Other
54,243,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,47,47,47,132.09,132.09,EliteWarehouse,Other
55,244,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,48,48,48,133.83,133.83,biddeal_co,Other
56,245,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,75,75,49,134.11,134.11,"UnbeatableSale, Inc",Other
57,246,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,49,49,50,134.32,134.32,Bopo,Other
58,247,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,50,50,51,134.85,134.85,ADVENTURER'S BAG,Other
59,248,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,51,51,52,136.1,136.1,stores123,Other
60,249,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,83,81,53,140.07,140.07,Good Luck Bargains,Other
61,250,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,52,52,54,142.9,142.9,Rover Mall,Other
62,251,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,53,53,55,143.62,143.62,Anaconda Technology,Other
63,252,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,54,54,56,144.12,144.12,Alliance(Supply),Other
64,253,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,55,55,57,144.57,144.57,101 Computers,Other
65,254,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,56,56,58,146.72,146.72,AmericaShoppingClub,Other
66,255,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,57,57,59,146.93,146.93,Bestrade Inc.,Other
67,256,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,58,58,60,147.29,147.29,JDVCommerce,Other
68,257,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,59,59,61,149.49,149.49,The Clark Group of NC,Other
69,258,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,60,60,62,150.13,150.13,Go Computer Supplies,Other
70,259,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,61,61,63,153.08,153.08,First Choice Unlimited,Other
71,260,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,62,62,64,153.2,153.2,DEALS#1,Other
72,261,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,63,63,65,153.44,153.44,Smart Toners,Other
73,262,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,64,64,66,153.98,153.98,V1-Store,Other
74,263,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,65,65,67,157.42,157.42,Shoplet,Other
75,264,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,66,66,68,157.7,157.7,ReStockIt,Other
76,265,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,84,82,69,162.5,162.5,DEALS#1,Other
77,266,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,67,67,70,179.62,179.62,BestSource OfficeSupplies,Other
78,267,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,68,68,71,179.66,179.66,Cinnam,Other
79,268,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,69,69,72,187.13,187.13,Wrigley's Business Products and Services,Other
80,269,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,70,70,73,188.79,188.79,EMPIRE MARKET,Other
81,270,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,76,76,74,195.95,195.95,salefolks,Other
82,271,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,77,77,75,202.06,202.06,zulsales,Other
83,272,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,78,78,76,213.71,213.71,ByBuy,Other
84,628,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,2,1,1,29.78,29.78,ASDQWEZXC,Other
85,627,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,1,1,1,29.78,29.78,linubBB2,Other
86,629,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,4,3,2,36.91,36.91,KCD6884,Other
87,630,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,3,2,3,29.92,39.32,Amazon.com,Amazon
88,631,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,5,4,4,39.79,39.79,American Premium Store,Other
89,632,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,6,5,5,41.99,41.99,Galactic  Deals,Other
90,633,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,7,6,6,42.9,42.9,e-Trade Global,Other
91,634,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,8,7,7,43.61,43.61,Axis2000LLC,Other
92,635,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,9,8,8,43.72,43.72,Lowest Priced Tests,Other
93,636,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,10,9,9,43.98,43.98,Harmony Direct,Other
94,637,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,11,10,10,44.28,44.28,Bayshore Corp.,Other
95,638,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,12,11,11,44.55,44.55,stores123,Other
96,639,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,13,12,12,44.58,44.58,Infiltrade LLC,Other
97,640,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,14,13,13,44.69,44.69,Rainy Day Specials,Other
98,641,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,15,14,14,44.9,44.9,quickshopdeals,Other
99,642,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,16,15,15,44.99,44.99,McCurdy Enterprises,Other
100,644,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,18,16,16,45.1,45.1,Marketplaceace,Other
101,643,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,17,16,16,45.1,45.1,UniqueProductStore,Other
102,645,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,19,17,17,45.11,45.11,sell4less85,Other
103,646,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,20,18,18,45.15,45.15,Marketing Allegiance,Other
104,647,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,21,19,19,45.85,45.85,Avant Alliance Shippers,Other
105,648,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,22,20,20,45.86,45.86,SIF Professional,Other
106,649,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,23,21,21,46.16,46.16,MINDeyes,Other
107,650,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,24,22,22,46.22,46.22,Queen of Sales,Other
108,651,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,25,22,22,46.22,46.22,Shops On The River,Other
109,652,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,26,23,23,46.49,46.49,abcreading,Other
110,653,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,27,24,24,46.6,46.6,Tinderbox Deals,Other
111,654,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,28,25,25,46.93,46.93,Loggerhead's Personal Shopper,Other
112,655,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,29,26,26,47.35,47.35,KRA Enterprises,Other
113,656,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,30,27,27,48.1,48.1,IQ Liquidators,Other
114,657,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,31,28,28,48.27,48.27,Bargain Ben,Other
115,658,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,32,29,29,49.44,49.44,Samjen Marketing,Other
116,659,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,33,30,30,49.49,49.49,Kind of A Big Deal,Other
117,660,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,34,31,31,49.98,49.98,JMproducts,Other
118,662,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,36,32,32,49.99,49.99,L.Store,Other
119,661,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,35,32,32,49.99,49.99,Sunday Inc,Other
120,663,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,37,33,33,50.73,50.73,PnB Deals,Other
121,664,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,38,34,34,51,51,Blessed Living _ BRAND NEW - FAST SHIPPING _ This item cannot be shipped to Alaska - Hawaii - Puerto Rico - PO Box and OUTSIDE of USA,Other
122,665,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,39,35,35,51.91,51.91,Connect Buy,Other
123,666,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,40,36,36,51.92,51.92,Sixx Box,Other
124,667,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,41,37,37,51.95,51.95,DDN INC,Other
125,668,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,42,38,38,51.96,51.96,bigstoresale,Other
126,669,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,43,39,39,51.97,51.97,ietech,Other
127,670,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,44,40,40,51.99,51.99,Junix,Other
128,671,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,45,40,40,51.99,51.99,troysmith5,Other
129,672,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,46,41,41,52.95,52.95,ClicksMaximus,Other
130,674,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,48,42,42,52.97,52.97,Pim Jai,Other
131,673,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,47,42,42,52.97,52.97,TeaBoxes,Other
132,676,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,50,43,43,53.97,53.97,First Choice Unlimited,Other
133,675,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,49,43,43,53.97,53.97,Smile Holiday,Other
134,677,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,51,44,44,54.56,54.56,GrayPower,Other
135,678,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,52,45,45,54.99,54.99,KatiesMarkdowns,Other
136,679,"Aroma Housewares ARC-914SBD Digital Cool-Touch Rice Cooker and Food Steamer with Stainless Steel Exterior, Silver",6/21/16,53,46,46,55.39,55.39,Bakery Shops,Other
